65,"Murali Kartik
Kings XI Punjab",56,55,191.3,1388,31,3/17,44.77,7.24,37.06,0,0
66,"Harshal Patel
Royal Challengers Bangalore",35,33,109.5,928,31,2/12,29.93,8.44,21.25,0,0
67,"Andre Russell
Kolkata Knight Riders",34,34,105.1,896,31,4/20,28.9,8.51,20.35,1,0
68,"Thisara Perera
Rising Pune Supergiant",37,36,116.2,1016,31,3/20,32.77,8.73,22.51,0,0
69,"Azhar Mahmood
Kolkata Knight Riders",23,23,89.3,700,29,3/20,24.13,7.82,18.51,0,0
70,"Ajit Agarkar
Delhi Daredevils",42,42,130.2,1151,29,3/25,39.68,8.83,26.96,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
71,"Daniel Vettori
Royal Challengers Bangalore",34,34,129.3,879,28,3/15,31.39,6.78,27.75,0,0
72,"Dirk Nannes
Chennai Super Kings",29,29,107.4,785,28,3/27,28.03,7.29,23.07,0,0
73,"Pravin Tambe
Sunrisers Hyderabad",33,33,110,853,28,4/20,30.46,7.75,23.57,1,0
74,"Amit Singh
Rajasthan Royals",23,23,78.5,620,28,4/19,22.14,7.86,16.89,1,0
75,"MF Maharoof
Delhi Daredevils",20,20,70,520,27,3/34,19.25,7.42,15.55,0,0
76,"Pawan Negi
Royal Challengers Bangalore",40,35,102.1,778,27,4/18,28.81,7.61,22.7,1,0
77,"Angelo Mathews
Delhi Daredevils",49,44,131.5,1079,27,4/19,39.96,8.18,29.29,1,0
78,"Wayne Parnell
Pune Warriors India",26,26,95.2,701,26,3/27,26.96,7.35,22,0,0
79,"Dan Christian
Rising Pune Supergiant",33,33,108.4,859,26,2/13,33.03,7.9,25.07,0,0
80,"Johan Botha
Kolkata Knight Riders",34,34,115.4,800,25,3/6,32,6.91,27.76,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
81,"Suresh Raina
Gujarat Lions",160,68,150.2,1112,25,2/0,44.48,7.39,36.08,0,0
82,"Brett Lee
Kolkata Knight Riders",38,38,145.5,1095,25,3/15,43.8,7.5,35,0,0
83,"Harmeet Singh Bansal
Kings XI Punjab",27,26,84.3,674,25,3/24,26.96,7.97,20.28,0,0
84,"JP Duminy
Delhi Daredevils",77,47,110,798,23,4/17,34.69,7.25,28.69,1,0
85,"Brad Hogg
Kolkata Knight Riders",21,21,76.2,570,23,4/29,24.78,7.46,19.91,1,0
86,"Shaun Tait
Kolkata Knight Riders",21,21,78.5,640,23,3/13,27.82,8.11,20.56,0,0
87,"Sohail Tanvir
Rajasthan Royals",11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1
