Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
145,"K Goel
Kings XI Punjab",22,17,2,218,38,14.53,231,94.37,0,0,17,9
146,"Abhishek Jhunjhunwala
Deccan Chargers",21,16,3,217,53*,16.69,210,103.33,0,1,19,5
147,"Travis Head
Royal Challengers Bangalore",9,9,3,203,75*,33.83,146,139.04,0,1,12,8
148,"Paul Collingwood
Rajasthan Royals",8,7,2,203,75*,40.6,156,130.12,0,3,9,13
149,"Shane Warne
Rajasthan Royals",55,29,9,198,34*,9.9,214,92.52,0,0,14,6
150,"Stephen Fleming
Chennai Super Kings",10,10,1,196,45,21.77,164,119.51,0,0,27,3
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
151,"Abhishek Raut
Rajasthan Royals",22,16,7,194,36*,21.55,167,116.16,0,0,13,7
152,"Ben Rohrer
Delhi Daredevils",8,8,2,193,64*,32.16,140,137.85,0,1,21,5
153,"Salman Butt
Kolkata Knight Riders",7,7,0,193,73,27.57,161,119.87,0,1,30,2
154,"Martin Guptill
Kings XI Punjab",9,9,1,189,50*,23.62,142,133.09,0,1,20,8
155,"Bipul Sharma
Sunrisers Hyderabad",32,16,8,185,35*,23.12,120,154.16,0,0,11,9
156,"Faiz Fazal
Rajasthan Royals",12,11,1,183,45,18.3,173,105.78,0,0,22,1
157,"Adam Voges
Rajasthan Royals",9,7,3,181,45*,45.25,143,126.57,0,0,15,3
158,"Ajit Agarkar
Delhi Daredevils",42,22,12,179,39,17.9,154,116.23,0,0,13,5
159,"MF Maharoof
Delhi Daredevils",20,14,4,177,39,17.7,123,143.9,0,0,12,9
160,"Sarfaraz Khan
Royal Challengers Bangalore",18,12,6,177,45*,29.5,102,173.52,0,0,19,6
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
161,"Dishant Yagnik
Rajasthan Royals",25,17,7,170,34,17,137,124.08,0,0,23,2
162,"CM Gautam
Mumbai Indians",13,13,3,169,33,16.9,150,112.66,0,0,17,6
163,"Dale Steyn
Gujarat Lions",90,35,13,166,19*,7.54,158,105.06,0,0,14,3
164,"Akshath Reddy
Sunrisers Hyderabad",12,10,0,164,42,16.4,160,102.5,0,0,15,2
165,"Marcus Stoinis
Kings XI Punjab",12,8,1,163,52,23.28,132,123.48,0,1,14,4
166,"Marlon Samuels
Delhi Daredevils",14,13,1,161,46,13.41,171,94.15,0,0,9,7
167,"Ryan McLaren
Kolkata Knight Riders",18,13,5,159,51*,19.87,171,92.98,0,1,14,1
168,"Roelof van der Merwe
Delhi Daredevils",21,15,4,159,35,14.45,141,112.76,0,0,11,8
169,"Bhuvneshwar Kumar
Sunrisers Hyderabad",88,34,15,158,24*,8.31,157,100.63,0,0,15,3
170,"Rishi Dhawan
Kolkata Knight Riders",26,17,10,153,25*,21.85,135,113.33,0,0,13,4
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
171,"Shaun Pollock
Mumbai Indians",13,8,0,147,33,18.37,111,132.43,0,0,12,8
172,"S Vidyut
Chennai Super Kings",9,8,0,145,54,18.12,109,133.02,0,1,21,3
173,"Nitin Saini
Kings XI Punjab",10,10,0,140,50,14,141,99.29,0,1,16,0
174,"Mitchell Johnson
Kings XI Punjab",45,27,14,138,16*,10.61,139,99.28,0,0,8,6
175,"Srikkanth Anirudha
Sunrisers Hyderabad",20,13,5,136,64,17,113,120.35,0,1,9,7
176,"Scott Styris
Chennai Super Kings",12,10,3,131,36*,18.71,133,98.49,0,0,10,3
177,"W Jaffer
Royal Challengers Bangalore",8,8,0,130,50,16.25,121,107.43,0,1,14,3
178,"Kamran Akmal
Rajasthan Royals",6,6,1,128,53*,25.6,78,164.1,0,1,13,8
179,"Paras Dogra
Gujarat Lions",13,12,1,127,41,11.54,138,92.02,0,0,4,5
180,"Usman Khawaja
Rising Pune Supergiant",6,6,0,127,30,21.16,100,127,0,0,14,3
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
181,"David Wiese
Royal Challengers Bangalore",15,8,4,127,47*,31.75,90,141.11,0,0,12,4
182,"Morne Morkel
Kolkata Knight Riders",70,23,12,126,23*,11.45,90,140,0,0,11,5
183,"Biplap Samantray
Sunrisers Hyderabad",9,8,3,125,55,25,113,110.61,0,1,13,2
184,"Manpreet Juneja
Sunrisers Hyderabad",7,7,0,125,49,17.85,128,97.65,0,0,11,1
185,"Sachin Baby
Royal Challengers Bangalore",17,9,1,125,33,15.62,93,134.4,0,0,9,5
